"foreignworker";"status";"credithistory";"purpose";"savings";"employmentsince";"otherdebtors";"property";"otherinstallments";"housing";"job";"phone";"duration";"creditamount";"installmentrate";"residencesince";"age";"numberofexsistingcredits";"numberofliablepeople";"gender";"creditworthy";"creditamout_per_month"
"yes";"< 0 Euro";"existing credits paid back duly till now";"business";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"rent";"skilled employee / official";"none";48;4308;3;4;24;1;1;"female";"Not Worthy";89.75
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1567;1;1;22;1;1;"female";"Worthy";130.58333333333334
"yes";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"unskilled - resident";"none";24;1199;4;4;60;2;1;"male";"Not Worthy";49.958333333333336
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"unskilled - resident";"none";24;1282;4;2;32;1;1;"female";"Not Worthy";53.416666666666664
"yes";"< 0 Euro";"No credits taken";"business";"unknown/ no savings account";"... < 1 year";"none";"car or other";"bank";"own";"skilled employee / official";"none";30;8072;2;3;25;3;1;"male";"Worthy";269.06666666666666
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;12579;4;2;44;1;1;"female";"Not Worthy";524.125
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;3430;3;2;31;1;2;"male";"Worthy";142.91666666666666
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";9;2134;4;4;48;3;1;"male";"Worthy";237.11111111111111
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";6;2647;2;3;44;1;2;"male";"Worthy";441.1666666666667
"no";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"rent";"unskilled - resident";"none";10;2241;1;3;48;2;2;"male";"Worthy";224.1
"yes";"< 200 Euro";"critical account/";"car (used)";"100 <= ... < 500 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;1804;3;4;44;1;1;"male";"Worthy";150.33333333333334
"no";"no checking account";"critical account/";"furniture/equipment";"unknown/ no savings account";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";10;2069;2;1;26;2;1;"male";"Worthy";206.9
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"bank";"own";"unskilled - resident";"yes, registered under the customers name";6;1374;1;2;36;1;1;"male";"Worthy";229.0
"yes";"no checking account";"No credits taken";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"unskilled - resident";"none";6;426;4;4;39;1;1;"male";"Worthy";71.0
"yes";">= 200 Euro";"all credits at this bank paid back duly";"radio/television";".. >= 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";12;409;3;3;42;2;1;"female";"Worthy";34.083333333333336
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"real estate";"none";"own";"skilled employee / official";"none";7;2415;3;2;34;1;1;"male";"Worthy";345.0
"yes";"< 0 Euro";"delay in paying off in the past";"business";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"own";"skilled employee / official";"yes, registered under the customers name";60;6836;3;4;63;2;1;"male";"Not Worthy";113.93333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"business";".. >= 1000 Euro";"... < 1 year";"none";"real estate";"bank";"own";"skilled employee / official";"yes, registered under the customers name";18;1913;3;3;36;1;1;"male";"Worthy";106.27777777777777
"Unknown";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"stores";"own";"skilled employee / official";"none";24;4020;2;2;27;1;1;"male";"Worthy";167.5
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";18;5866;2;2;30;2;1;"male";"Worthy";325.8888888888889
"yes";"no checking account";"critical account/";"business";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"none";"rent";"unskilled - resident";"none";12;1264;4;4;57;1;1;"male";"Worthy";105.33333333333333
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"bank";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;1474;4;1;33;1;1;"female";"Worthy";122.83333333333333
"yes";"< 200 Euro";"critical account/";"radio/television";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";45;4746;4;2;25;2;1;"male";"Not Worthy";105.46666666666667
"yes";"no checking account";"critical account/";"education";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"yes, registered under the customers name";48;6110;1;3;31;1;1;"male";"Worthy";127.29166666666667
"yes";">= 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"co-applicant";"real estate";"stores";"own";"skilled employee / official";"none";18;2100;4;2;37;1;1;"male";"Not Worthy";116.66666666666667
"yes";">= 200 Euro";"existing credits paid back duly till now";"domestic appliances";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";10;1225;2;2;37;1;1;"male";"Worthy";122.5
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";9;458;4;3;24;1;1;"male";"Worthy";50.888888888888886
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"car or other";"bank";"own";"management/ self-employed/ highly qualified employ";"none";30;2333;4;2;30;1;1;"male";"Worthy";77.76666666666667
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1158;3;1;26;1;1;"male";"Worthy";96.5
"yes";"< 200 Euro";"delay in paying off in the past";"repairs";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";18;6204;2;4;44;1;2;"male";"Worthy";344.6666666666667
"yes";"< 0 Euro";"critical account/";"car (used)";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"rent";"skilled employee / official";"none";30;6187;1;4;24;2;1;"male";"Worthy";206.23333333333332
"yes";"< 0 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"stores";"for free";"unskilled - resident";"none";48;6143;4;4;58;2;1;"female";"Not Worthy";127.97916666666667
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"none";11;1393;4;4;35;2;1;"female";"Worthy";126.63636363636364
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";36;2299;4;4;39;1;1;"male";"Worthy";63.861111111111114
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (used)";"500 <= ... < 1000 Euro";"unemployed";"none";"building society savings agreement/ life insurance";"none";"rent";"unemployed/ unskilled - non-resident";"yes, registered under the customers name";6;1352;1;2;23;1;1;"female";"Worthy";225.33333333333334
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";11;7228;1;4;39;2;1;"male";"Worthy";657.0909090909091
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"co-applicant";"real estate";"none";"own";"skilled employee / official";"none";12;2073;4;2;28;1;1;"female";"Worthy";172.75
"yes";"< 200 Euro";"delay in paying off in the past";"furniture/equipment";"unknown/ no savings account";"... < 1 year";"none";"building society savings agreement/ life insurance";"bank";"own";"unskilled - resident";"none";24;2333;4;2;29;1;1;"male";"Worthy";97.20833333333333
"yes";"< 200 Euro";"delay in paying off in the past";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";27;5965;1;2;30;2;1;"male";"Worthy";220.92592592592592
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";12;1262;3;2;25;1;1;"male";"Worthy";105.16666666666667
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";18;3378;2;1;31;1;1;"male";"Worthy";187.66666666666666
"yes";"< 200 Euro";"delay in paying off in the past";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"yes, registered under the customers name";36;2225;4;4;57;2;1;"male";"Not Worthy";61.80555555555556
"yes";"no checking account";"all credits at this bank paid back duly";"car (new)";"unknown/ no savings account";"1 <= ... < 4 years";"guarantor";"real estate";"stores";"own";"unskilled - resident";"none";6;783;1;2;26;1;2;"male";"Worthy";130.5
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"unemployed";"none";"unknown / no property";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;6468;2;1;52;1;1;"male";"Not Worthy";539.0
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"stores";"own";"skilled employee / official";"none";36;9566;2;2;31;2;1;"female";"Worthy";265.72222222222223
"yes";">= 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"none";18;1961;3;2;23;1;1;"female";"Worthy";108.94444444444444
"yes";"< 0 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";"... < 1 year";"co-applicant";"unknown / no property";"none";"rent";"unskilled - resident";"yes, registered under the customers name";36;6229;4;4;23;2;1;"female";"Not Worthy";173.02777777777777
"yes";"< 200 Euro";"existing credits paid back duly till now";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"bank";"own";"skilled employee / official";"yes, registered under the customers name";9;1391;2;1;27;1;1;"male";"Worthy";154.55555555555554
"yes";"< 200 Euro";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"guarantor";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";15;1537;4;4;50;2;1;"male";"Worthy";102.46666666666667
"yes";"< 200 Euro";"No credits taken";"business";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";36;1953;4;4;61;1;1;"male";"Not Worthy";54.25
"yes";"< 200 Euro";"No credits taken";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;14421;2;2;25;1;1;"male";"Not Worthy";300.4375
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;3181;4;4;26;1;1;"female";"Worthy";132.54166666666666
"yes";"no checking account";"existing credits paid back duly till now";"repairs";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";27;5190;4;4;48;4;2;"male";"Worthy";192.22222222222223
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"car or other";"bank";"own";"skilled employee / official";"none";12;2171;2;2;29;1;1;"female";"Worthy";180.91666666666666
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";".. >= 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1007;4;1;22;1;1;"male";"Worthy";83.91666666666667
"yes";"no checking account";"existing credits paid back duly till now";"education";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"stores";"for free";"skilled employee / official";"yes, registered under the customers name";36;1819;4;4;37;1;1;"male";"Not Worthy";50.52777777777778
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";36;2394;4;4;25;1;1;"female";"Worthy";66.5
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"none";36;8133;1;2;30;1;1;"female";"Worthy";225.91666666666666
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"rent";"unskilled - resident";"yes, registered under the customers name";7;730;4;2;46;2;1;"male";"Worthy";104.28571428571429
"yes";"< 0 Euro";"critical account/";"others";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";8;1164;3;4;51;2;2;"male";"Worthy";145.5
"yes";"< 0 Euro";"existing credits paid back duly till now";"education";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";36;1977;4;4;40;1;1;"male";"Not Worthy";54.916666666666664
"yes";"< 0 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"none";12;1526;4;4;66;2;1;"male";"Worthy";127.16666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";42;3965;4;3;34;1;1;"male";"Not Worthy";94.4047619047619
"yes";"< 200 Euro";"delay in paying off in the past";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";11;4771;2;4;51;1;1;"male";"Worthy";433.72727272727275
"yes";"no checking account";"No credits taken";"car (used)";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";54;9436;2;2;39;1;2;"male";"Worthy";174.74074074074073
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";30;3832;2;1;22;1;1;"male";"Worthy";127.73333333333333
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;5943;1;1;44;2;1;"female";"Not Worthy";247.625
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"stores";"own";"skilled employee / official";"yes, registered under the customers name";15;1213;4;3;47;1;1;"male";"Worthy";80.86666666666666
"yes";"no checking account";"existing credits paid back duly till now";"business";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"rent";"unskilled - resident";"none";18;1568;3;4;24;1;1;"female";"Worthy";87.11111111111111
"yes";"< 0 Euro";"existing credits paid back duly till now";"others";"... < 100 Euro";".. >= 7 years";"guarantor";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";24;1755;4;4;58;1;1;"female";"Worthy";73.125
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";10;2315;3;4;52;1;1;"male";"Worthy";231.5
"yes";"no checking account";"critical account/";"business";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"real estate";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;1412;4;2;29;2;1;"female";"Worthy";117.66666666666667
"yes";"< 200 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";18;1295;4;1;27;2;1;"female";"Worthy";71.94444444444444
"yes";"< 200 Euro";"existing credits paid back duly till now";"education";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"yes, registered under the customers name";36;12612;1;4;47;1;2;"male";"Not Worthy";350.3333333333333
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";18;2249;4;3;30;1;2;"male";"Worthy";124.94444444444444
"yes";"< 0 Euro";"No credits taken";"repairs";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1108;4;3;28;2;1;"male";"Not Worthy";92.33333333333333
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;618;4;4;56;1;1;"male";"Worthy";51.5
"yes";"< 0 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1409;4;3;54;1;1;"male";"Worthy";117.41666666666667
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"bank";"own";"unskilled - resident";"none";12;797;4;3;33;1;2;"female";"Not Worthy";66.41666666666667
"yes";">= 200 Euro";"critical account/";"furniture/equipment";"unknown/ no savings account";".. >= 7 years";"co-applicant";"unknown / no property";"none";"rent";"skilled employee / official";"none";24;3617;4;4;20;2;1;"male";"Worthy";150.70833333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";".. >= 1000 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1318;4;4;54;1;1;"male";"Worthy";109.83333333333333
"yes";"< 200 Euro";"No credits taken";"business";"... < 100 Euro";"... < 1 year";"none";"unknown / no property";"none";"rent";"skilled employee / official";"yes, registered under the customers name";54;15945;3;4;58;1;1;"male";"Not Worthy";295.27777777777777
"yes";"no checking account";"critical account/";"education";"unknown/ no savings account";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";12;2012;4;2;61;1;1;"female";"Worthy";167.66666666666666
"yes";"< 200 Euro";"existing credits paid back duly till now";"business";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";18;2622;4;4;34;1;1;"male";"Worthy";145.66666666666666
"yes";"< 200 Euro";"critical account/";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";36;2337;4;4;36;1;1;"male";"Worthy";64.91666666666667
"yes";"< 200 Euro";"delay in paying off in the past";"car (used)";"unknown/ no savings account";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"bank";"rent";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";20;7057;3;4;36;2;2;"male";"Worthy";352.85
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"100 <= ... < 500 Euro";".. >= 7 years";"none";"real estate";"none";"rent";"unskilled - resident";"none";24;1469;4;4;41;1;1;"male";"Worthy";61.208333333333336
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"rent";"skilled employee / official";"none";36;2323;4;4;24;1;1;"male";"Worthy";64.52777777777777
"yes";"no checking account";"delay in paying off in the past";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";6;932;3;2;24;1;1;"female";"Worthy";155.33333333333334
"yes";"< 200 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"rent";"skilled employee / official";"yes, registered under the customers name";9;1919;4;3;35;1;1;"male";"Worthy";213.22222222222223
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";"... < 1 year";"none";"car or other";"none";"rent";"skilled employee / official";"yes, registered under the customers name";12;2445;2;4;26;1;1;"male";"Worthy";203.75
"yes";"< 200 Euro";"critical account/";"others";"... < 100 Euro";"1 <= ... < 4 years";"co-applicant";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;11938;2;3;39;2;2;"male";"Not Worthy";497.4166666666667
"yes";"no checking account";"all credits at this bank paid back duly";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"bank";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";18;6458;2;4;39;2;2;"male";"Not Worthy";358.77777777777777
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";12;6078;2;2;32;1;1;"male";"Worthy";506.5
"no";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;7721;1;2;30;1;1;"female";"Worthy";321.7083333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"business";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";14;1410;1;2;35;1;1;"male";"Worthy";100.71428571428571
"yes";"< 200 Euro";"delay in paying off in the past";"business";"100 <= ... < 500 Euro";".. >= 7 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";6;1449;1;2;31;2;2;"male";"Worthy";241.5
"yes";">= 200 Euro";"existing credits paid back duly till now";"education";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"rent";"skilled employee / official";"yes, registered under the customers name";15;392;4;4;23;1;1;"female";"Worthy";26.133333333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"rent";"unskilled - resident";"none";18;6260;3;3;28;1;1;"male";"Worthy";347.77777777777777
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"stores";"own";"skilled employee / official";"yes, registered under the customers name";36;7855;4;2;25;2;1;"female";"Not Worthy";218.19444444444446
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1680;3;1;35;1;1;"male";"Worthy";140.0
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;3578;4;1;47;1;1;"male";"Worthy";74.54166666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"4 <= ... < 7 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";42;7174;4;3;30;1;1;"female";"Not Worthy";170.8095238095238
"no";"< 0 Euro";"critical account/";"furniture/equipment";"unknown/ no savings account";"... < 1 year";"co-applicant";"real estate";"none";"rent";"skilled employee / official";"none";10;2132;2;3;27;2;1;"female";"Worthy";213.2
"yes";"< 0 Euro";"critical account/";"furniture/equipment";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";33;4281;1;4;23;2;1;"female";"Not Worthy";129.72727272727272
"yes";"< 200 Euro";"critical account/";"car (new)";"500 <= ... < 1000 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;2366;3;3;36;1;1;"male";"Worthy";197.16666666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";21;1835;3;2;25;2;1;"female";"Not Worthy";87.38095238095238
